League,Y,Franchise,Team,G,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,avgFGM,avgFGA,avgFG%,avg3FGM,avg3FGA,avg3FG%,avgFTM,avgFTA,avgFT%,avgOFF,avgDEF,avgREB,avgAST,avgSTL,avgBLK,avgTO,avgPF,avgPTS
NBA,1967,Atlanta Hawks,SLH,82,3504,7765,0.45,---,---,---,2258,3111,0.73,---,---,5325,1988,---,---,---,2046,9266,42.7,94.7,0.45,---,---,---,27.5,37.9,0.73,---,---,64.9,24.2,---,---,---,25.0,113.0
NBA,1967,Boston Celtics,BOS,82,3686,8371,0.44,---,---,---,2151,2983,0.72,---,---,5666,1798,---,---,---,2147,9523,45.0,102.1,0.44,---,---,---,26.2,36.4,0.72,---,---,69.1,21.9,---,---,---,26.2,116.1
NBA,1967,Chicago Bulls,CHI,82,3488,8138,0.43,---,---,---,2006,2718,0.74,---,---,5117,1527,---,---,---,2130,8982,42.5,99.2,0.43,---,---,---,24.5,33.1,0.74,---,---,62.4,18.6,---,---,---,26.0,109.5
NBA,1967,Detroit Pistons,DET,82,3755,8386,0.45,---,---,---,2215,3129,0.71,---,---,5452,1700,---,---,---,2240,9725,45.8,102.3,0.45,---,---,---,27.0,38.2,0.71,---,---,66.5,20.7,---,---,---,27.3,118.6
NBA,1967,Golden State Warriors,SFW,82,3632,8587,0.42,---,---,---,2334,3153,0.74,---,---,6029,1901,---,---,---,2265,9598,44.3,104.7,0.42,---,---,---,28.5,38.5,0.74,---,---,73.5,23.2,---,---,---,27.6,117.0
NBA,1967,Houston Rockets,SDR,82,3566,8547,0.42,---,---,---,2083,2929,0.71,---,---,5418,1837,---,---,---,2188,9215,43.5,104.2,0.42,---,---,---,25.4,35.7,0.71,---,---,66.1,22.4,---,---,---,26.7,112.4
NBA,1967,Los Angeles Lakers,LAL,82,3827,8031,0.48,---,---,---,2283,3143,0.73,---,---,5225,1983,---,---,---,2152,9937,46.7,97.9,0.48,---,---,---,27.8,38.3,0.73,---,---,63.7,24.2,---,---,---,26.2,121.2
NBA,1967,New York Knicks,NYK,82,3682,8070,0.46,---,---,---,2159,3042,0.71,---,---,5122,1967,---,---,---,2364,9523,44.9,98.4,0.46,---,---,---,26.3,37.1,0.71,---,---,62.5,24.0,---,---,---,28.8,116.1
NBA,1967,Oklahoma City Thunder,SEA,82,3772,8593,0.44,---,---,---,2188,3042,0.72,---,---,5338,1998,---,---,---,2372,9732,46.0,104.8,0.44,---,---,---,26.7,37.1,0.72,---,---,65.1,24.4,---,---,---,28.9,118.7
NBA,1967,Philadelphia 76ers,PHI,82,3965,8414,0.47,---,---,---,2121,3338,0.64,---,---,5914,2197,---,---,---,1851,10051,48.4,102.6,0.47,---,---,---,25.9,40.7,0.64,---,---,72.1,26.8,---,---,---,22.6,122.6
NBA,1967,Sacramento Kings,CIN,82,3679,7864,0.47,---,---,---,2204,2892,0.76,---,---,5129,2048,---,---,---,2016,9562,44.9,95.9,0.47,---,---,---,26.9,35.3,0.76,---,---,62.5,25.0,---,---,---,24.6,116.6
NBA,1967,Washington Wizards,BAL,82,3691,8428,0.44,---,---,---,2245,2994,0.75,---,---,5431,1534,---,---,---,2127,9627,45.0,102.8,0.44,---,---,---,27.4,36.5,0.75,---,---,66.2,18.7,---,---,---,25.9,117.4
NBA,1968,Atlanta Hawks,ATL,82,3605,7844,0.46,---,---,---,1913,2785,0.69,---,---,4599,2069,---,---,---,2082,9123,44.0,95.7,0.46,---,---,---,23.3,34.0,0.69,---,---,56.1,25.2,---,---,---,25.4,111.3
NBA,1968,Boston Celtics,BOS,82,3583,8316,0.43,---,---,---,1936,2657,0.73,---,---,4840,1953,---,---,---,2073,9102,43.7,101.4,0.43,---,---,---,23.6,32.4,0.73,---,---,59,23.8,---,---,---,25.3,111.0
NBA,1968,Chicago Bulls,CHI,82,3355,8021,0.42,---,---,---,1877,2577,0.73,---,---,4550,1597,---,---,---,2064,8587,40.9,97.8,0.42,---,---,---,22.9,31.4,0.73,---,---,55.5,19.5,---,---,---,25.2,104.7
NBA,1968,Detroit Pistons,DET,82,3609,7997,0.45,---,---,---,2141,3025,0.71,---,---,4471,1757,---,---,---,2105,9359,44.0,97.5,0.45,---,---,---,26.1,36.9,0.71,---,---,54.5,21.4,---,---,---,25.7,114.1
NBA,1968,Golden State Warriors,SFW,82,3414,8218,0.42,---,---,---,2119,2949,0.72,---,---,5109,1822,---,---,---,2087,8947,41.6,100.2,0.42,---,---,---,25.8,36.0,0.72,---,---,62.3,22.2,---,---,---,25.5,109.1
NBA,1968,Houston Rockets,SDR,82,3691,8631,0.43,---,---,---,2074,3039,0.68,---,---,5026,1925,---,---,---,2110,9456,45.0,105.3,0.43,---,---,---,25.3,37.1,0.68,---,---,61.3,23.5,---,---,---,25.7,115.3
NBA,1968,Los Angeles Lakers,LAL,82,3574,7620,0.47,---,---,---,2056,3161,0.65,---,---,4749,2068,---,---,---,1773,9204,43.6,92.9,0.47,---,---,---,25.1,38.5,0.65,---,---,57.9,25.2,---,---,---,21.6,112.2
NBA,1968,Milwaukee Bucks,MIL,82,3537,8258,0.43,---,---,---,1966,2638,0.75,---,---,4727,1882,---,---,---,2187,9040,43.1,100.7,0.43,---,---,---,24.0,32.2,0.75,---,---,57.6,23.0,---,---,---,26.7,110.2
NBA,1968,New York Knicks,NYK,82,3588,7813,0.46,---,---,---,1911,2596,0.74,---,---,4246,2071,---,---,---,2175,9087,43.8,95.3,0.46,---,---,---,23.3,31.7,0.74,---,---,51.8,25.3,---,---,---,26.5,110.8
NBA,1968,Oklahoma City Thunder,SEA,82,3543,8149,0.43,---,---,---,2105,2979,0.71,---,---,4498,1927,---,---,---,2281,9191,43.2,99.4,0.43,---,---,---,25.7,36.3,0.71,---,---,54.9,23.5,---,---,---,27.8,112.1
NBA,1968,Philadelphia 76ers,PHI,82,3754,8274,0.45,---,---,---,2238,3087,0.72,---,---,4513,1914,---,---,---,2145,9746,45.8,100.9,0.45,---,---,---,27.3,37.6,0.72,---,---,55,23.3,---,---,---,26.2,118.9
NBA,1968,Phoenix Suns,PHO,82,3541,8242,0.43,---,---,---,2080,2950,0.71,---,---,4508,1918,---,---,---,2086,9162,43.2,100.5,0.43,---,---,---,25.4,36.0,0.71,---,---,55,23.4,---,---,---,25.4,111.7
NBA,1968,Sacramento Kings,CIN,82,3565,7742,0.46,---,---,---,2262,3012,0.75,---,---,4525,1983,---,---,---,2031,9392,43.5,94.4,0.46,---,---,---,27.6,36.7,0.75,---,---,55.2,24.2,---,---,---,24.8,114.5
NBA,1968,Washington Wizards,BAL,82,3770,8567,0.44,---,---,---,2002,2734,0.73,---,---,4963,1682,---,---,---,2038,9542,46.0,104.5,0.44,---,---,---,24.4,33.3,0.73,---,---,60.5,20.5,---,---,---,24.9,116.4
NBA,1969,Atlanta Hawks,ATL,82,3817,7907,0.48,---,---,---,2012,2669,0.75,---,---,4210,2142,---,---,---,2016,9646,46.5,96.4,0.48,---,---,---,24.5,32.5,0.75,---,---,51.3,26.1,---,---,---,24.6,117.6
NBA,1969,Boston Celtics,BOS,82,3645,8235,0.44,---,---,---,2132,2711,0.79,---,---,4336,1875,---,---,---,2320,9422,44.5,100.4,0.44,---,---,---,26.0,33.1,0.79,---,---,52.9,22.9,---,---,---,28.3,114.9
NBA,1969,Chicago Bulls,CHI,82,3607,8133,0.44,---,---,---,2209,2861,0.77,---,---,4383,2133,---,---,---,1863,9423,44.0,99.2,0.44,---,---,---,26.9,34.9,0.77,---,---,53.5,26.0,---,---,---,22.7,114.9
NBA,1969,Detroit Pistons,DET,82,3565,7657,0.47,---,---,---,2116,2881,0.73,---,---,3831,1709,---,---,---,1930,9246,43.5,93.4,0.47,---,---,---,25.8,35.1,0.73,---,---,46.7,20.8,---,---,---,23.5,112.8
NBA,1969,Golden State Warriors,SFW,82,3555,8224,0.43,---,---,---,2004,2646,0.76,---,---,4772,1861,---,---,---,2050,9114,43.4,100.3,0.43,---,---,---,24.4,32.3,0.76,---,---,58.2,22.7,---,---,---,25.0,111.1
NBA,1969,Houston Rockets,SDR,82,3866,8867,0.44,---,---,---,2000,2728,0.73,---,---,4786,2036,---,---,---,2096,9732,47.1,108.1,0.44,---,---,---,24.4,33.3,0.73,---,---,58.4,24.8,---,---,---,25.6,118.7
NBA,1969,Los Angeles Lakers,LAL,82,3668,7952,0.46,---,---,---,1991,2641,0.75,---,---,4154,2030,---,---,---,1896,9327,44.7,97.0,0.46,---,---,---,24.3,32.2,0.75,---,---,50.7,24.8,---,---,---,23.1,113.7
NBA,1969,Milwaukee Bucks,MIL,82,3923,8041,0.49,---,---,---,1895,2589,0.73,---,---,4419,2168,---,---,---,1971,9741,47.8,98.1,0.49,---,---,---,23.1,31.6,0.73,---,---,53.9,26.4,---,---,---,24.0,118.8
NBA,1969,New York Knicks,NYK,82,3803,7975,0.48,---,---,---,1821,2484,0.73,---,---,4006,2135,---,---,---,2016,9427,46.4,97.3,0.48,---,---,---,22.2,30.3,0.73,---,---,48.9,26.0,---,---,---,24.6,115.0
NBA,1969,Oklahoma City Thunder,SEA,82,3709,8029,0.46,---,---,---,2171,2851,0.76,---,---,4312,2214,---,---,---,2175,9589,45.2,97.9,0.46,---,---,---,26.5,34.8,0.76,---,---,52.6,27.0,---,---,---,26.5,116.9
NBA,1969,Philadelphia 76ers,PHI,82,3915,8345,0.47,---,---,---,2168,2884,0.75,---,---,4463,2127,---,---,---,2196,9998,47.7,101.8,0.47,---,---,---,26.4,35.2,0.75,---,---,54.4,25.9,---,---,---,26.8,121.9
NBA,1969,Phoenix Suns,PHO,82,3676,7856,0.47,---,---,---,2434,3270,0.74,---,---,4183,2076,---,---,---,2183,9786,44.8,95.8,0.47,---,---,---,29.7,39.9,0.74,---,---,51,25.3,---,---,---,26.6,119.3
NBA,1969,Sacramento Kings,CIN,82,3767,8271,0.46,---,---,---,2082,2841,0.73,---,---,4163,1992,---,---,---,2215,9616,45.9,100.9,0.46,---,---,---,25.4,34.6,0.73,---,---,50.8,24.3,---,---,---,27.0,117.3
NBA,1969,Washington Wizards,BAL,82,3925,8567,0.46,---,---,---,2050,2652,0.77,---,---,4679,1881,---,---,---,1896,9900,47.9,104.5,0.46,---,---,---,25.0,32.3,0.77,---,---,57.1,22.9,---,---,---,23.1,120.7
NBA,1970,Atlanta Hawks,ATL,82,3614,7779,0.46,---,---,---,2120,2975,0.71,---,---,4472,1906,---,---,---,1958,9348,44.1,94.9,0.46,---,---,---,25.9,36.3,0.71,---,---,54.5,23.2,---,---,---,23.9,114.0
NBA,1970,Boston Celtics,BOS,82,3804,8616,0.44,---,---,---,2000,2648,0.76,---,---,4833,2052,---,---,---,2138,9608,46.4,105.1,0.44,---,---,---,24.4,32.3,0.76,---,---,58.9,25.0,---,---,---,26.1,117.2
NBA,1970,Chicago Bulls,CHI,82,3460,7660,0.45,---,---,---,2150,2721,0.79,---,---,4325,2142,---,---,---,1797,9070,42.2,93.4,0.45,---,---,---,26.2,33.2,0.79,---,---,52.7,26.1,---,---,---,21.9,110.6
NBA,1970,Cleveland Cavaliers,CLE,82,3299,7778,0.42,---,---,---,1775,2380,0.75,---,---,3982,2065,---,---,---,2114,8373,40.2,94.9,0.42,---,---,---,21.6,29.0,0.75,---,---,48.6,25.2,---,---,---,25.8,102.1
NBA,1970,Detroit Pistons,DET,82,3468,7730,0.45,---,---,---,2093,2808,0.75,---,---,3923,1696,---,---,---,1969,9029,42.3,94.3,0.45,---,---,---,25.5,34.2,0.75,---,---,47.8,20.7,---,---,---,24.0,110.1
NBA,1970,Golden State Warriors,SFW,82,3454,7709,0.45,---,---,---,1875,2468,0.76,---,---,4643,1893,---,---,---,1833,8783,42.1,94.0,0.45,---,---,---,22.9,30.1,0.76,---,---,56.6,23.1,---,---,---,22.4,107.1
NBA,1970,Houston Rockets,SDR,82,3547,8426,0.42,---,---,---,2188,2921,0.75,---,---,4686,1921,---,---,---,2128,9282,43.3,102.8,0.42,---,---,---,26.7,35.6,0.75,---,---,57.1,23.4,---,---,---,26.0,113.2
NBA,1970,Los Angeles Clippers,BUF,82,3424,7860,0.44,---,---,---,1805,2504,0.72,---,---,4261,1962,---,---,---,2232,8653,41.8,95.9,0.44,---,---,---,22.0,30.5,0.72,---,---,52,23.9,---,---,---,27.2,105.5
NBA,1970,Los Angeles Lakers,LAL,82,3739,7857,0.48,---,---,---,1933,2717,0.71,---,---,4269,2205,---,---,---,1709,9411,45.6,95.8,0.48,---,---,---,23.6,33.1,0.71,---,---,52.1,26.9,---,---,---,20.8,114.8
NBA,1970,Milwaukee Bucks,MIL,82,3972,7803,0.51,---,---,---,1766,2379,0.74,---,---,4344,2249,---,---,---,1847,9710,48.4,95.2,0.51,---,---,---,21.5,29.0,0.74,---,---,53,27.4,---,---,---,22.5,118.4
NBA,1970,New York Knicks,NYK,82,3633,8076,0.45,---,---,---,1760,2377,0.74,---,---,4075,1779,---,---,---,1916,9026,44.3,98.5,0.45,---,---,---,21.5,29.0,0.74,---,---,49.7,21.7,---,---,---,23.4,110.1
NBA,1970,Oklahoma City Thunder,SEA,82,3664,8034,0.46,---,---,---,2101,2790,0.75,---,---,4456,2049,---,---,---,1917,9429,44.7,98.0,0.46,---,---,---,25.6,34.0,0.75,---,---,54.3,25.0,---,---,---,23.4,115.0
NBA,1970,Philadelphia 76ers,PHI,82,3608,8026,0.45,---,---,---,2199,2967,0.74,---,---,4437,1976,---,---,---,2168,9415,44.0,97.9,0.45,---,---,---,26.8,36.2,0.74,---,---,54.1,24.1,---,---,---,26.4,114.8
NBA,1970,Phoenix Suns,PHO,82,3503,8021,0.44,---,---,---,2327,3078,0.76,---,---,4442,1927,---,---,---,2132,9333,42.7,97.8,0.44,---,---,---,28.4,37.5,0.76,---,---,54.2,23.5,---,---,---,26.0,113.8
NBA,1970,Portland Trail Blazers,POR,82,3721,8562,0.43,---,---,---,2025,2671,0.76,---,---,4210,2227,---,---,---,2024,9467,45.4,104.4,0.43,---,---,---,24.7,32.6,0.76,---,---,51.3,27.2,---,---,---,24.7,115.5
NBA,1970,Sacramento Kings,CIN,82,3805,8374,0.45,---,---,---,1901,2622,0.73,---,---,4151,2022,---,---,---,2126,9511,46.4,102.1,0.45,---,---,---,23.2,32.0,0.73,---,---,50.6,24.7,---,---,---,25.9,116.0
NBA,1970,Washington Wizards,BAL,82,3684,8331,0.44,---,---,---,1886,2500,0.75,---,---,4550,1772,---,---,---,1966,9254,44.9,101.6,0.44,---,---,---,23.0,30.5,0.75,---,---,55.5,21.6,---,---,---,24.0,112.9
NBA,1971,Atlanta Hawks,ATL,82,3482,7570,0.46,---,---,---,2018,2725,0.74,---,---,4080,1897,---,---,---,1967,8982,42.5,92.3,0.46,---,---,---,24.6,33.2,0.74,---,---,49.8,23.1,---,---,---,24.0,109.5
NBA,1971,Boston Celtics,BOS,82,3819,8431,0.45,---,---,---,1839,2367,0.78,---,---,4462,2230,---,---,---,2030,9477,46.6,102.8,0.45,---,---,---,22.4,28.9,0.78,---,---,54.4,27.2,---,---,---,24.8,115.6
