League,Y,Franchise,Team,G,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,avgFGM,avgFGA,avgFG%,avg3FGM,avg3FGA,avg3FG%,avgFTM,avgFTA,avgFT%,avgOFF,avgDEF,avgREB,avgAST,avgSTL,avgBLK,avgTO,avgPF,avgPTS,Column1,impliedFGM,impliedFGA,impliedFG%,implied3FGM,implied3FGA,implied3FG%,impliedFTM,impliedFTA,impliedFT%,impliedREB,impliedAST,impliedSTL,impliedBLK,impliedTO,impliedPF,impliedPTS
NBA,1990,Atlanta Hawks,ATL,82,3349,7223,0.46,271,836,0.32,2034,2544,0.8,1235,2420,3655,1864,729,374,1231,1768,9003,40.8,88.1,0.46,3.3,10.2,0.32,24.8,31.0,0.8,15.1,29.5,44.6,22.7,8.9,4.6,15,21.6,109.8,15,3347,7220,0.463573407202216,271,836,0.324162679425837,2031,2539,0.799921228830248,3647,1864,729,373,1207,1763,8996
NBA,1990,Boston Celtics,BOS,82,3695,7214,0.51,109,346,0.32,1646,1997,0.82,1088,2697,3785,2160,672,565,1320,1695,9145,45.1,88.0,0.51,1.3,4.2,0.32,20.1,24.4,0.82,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5,95,3655,7123,0.513126491646778,109,346,0.315028901734104,1624,1964,0.826883910386965,3718,2148,669,534,1275,1633,9043
NBA,1990,Brooklyn Nets,NJN,82,3311,7459,0.44,161,586,0.27,1658,2245,0.74,1400,2348,3748,1782,748,600,1423,1954,8441,40.4,91.0,0.44,2,7.1,0.27,20.2,27.4,0.74,17.1,28.6,45.7,21.7,9.1,7.3,17.4,23.8,102.9,898,2609,5955,0.438119227539882,139,523,0.265774378585086,1292,1684,0.767220902612827,2566,1568,594,401,1117,1315,6649
NBA,1990,Charlotte Hornets,CHA,82,3286,7033,0.47,131,417,0.31,1725,2214,0.78,1027,2200,3227,2019,759,304,1290,1946,8428,40.1,85.8,0.47,1.6,5.1,0.31,21.0,27.0,0.78,12.5,26.8,39.4,24.6,9.3,3.7,15.7,23.7,102.8,141,2707,5846,0.463051659254191,130,410,0.317073170731707,1472,1874,0.785485592315902,2320,1898,682,246,1075,1656,7016
NBA,1990,Chicago Bulls,CHI,82,3632,7125,0.51,155,424,0.37,1605,2111,0.76,1148,2342,3490,2212,822,438,1184,1751,9024,44.3,86.9,0.51,1.9,5.2,0.37,19.6,25.7,0.76,14,28.6,42.6,27.0,10,5.3,14.4,21.4,110.0,188,3314,6476,0.511735639283508,155,424,0.365566037735849,1481,1933,0.766166580444904,3004,2086,790,423,1035,1584,8264
NBA,1990,Cleveland Cavaliers,CLE,82,3259,6857,0.48,160,479,0.33,1665,2176,0.77,1011,2329,3340,2240,643,450,1281,1672,8343,39.7,83.6,0.48,2,5.8,0.33,20.3,26.5,0.77,12.3,28.4,40.7,27.3,7.8,5.5,15.6,20.4,101.7,241,3191,6662,0.478985289702792,160,478,0.334728033472803,1613,2100,0.768095238095238,3247,2201,631,445,1216,1592,8155
NBA,1990,Dallas Mavericks,DAL,82,3245,6890,0.47,193,600,0.32,1512,1986,0.76,984,2360,3344,1821,581,397,1186,1840,8195,39.6,84.0,0.47,2.4,7.3,0.32,18.4,24.2,0.76,12,28.8,40.8,22.2,7.1,4.8,14.5,22.4,99.9,284,2865,6156,0.465399610136452,193,599,0.32220367278798,1297,1676,0.773866348448687,2481,1741,532,284,976,1582,7220
NBA,1990,Denver Nuggets,DEN,82,3901,8868,0.44,300,1059,0.28,1726,2263,0.76,1520,2530,4050,2005,856,406,1332,2235,9828,47.6,108.1,0.44,3.7,12.9,0.28,21.0,27.6,0.76,18.5,30.9,49.4,24.5,10.4,5,16.2,27.3,119.9,331,2896,6676,0.433792690233673,239,845,0.282840236686391,1326,1737,0.763385146804836,3143,1644,591,312,990,1618,7357
NBA,1990,Detroit Pistons,DET,82,3194,6875,0.46,131,440,0.3,1686,2211,0.76,1206,2452,3658,1825,487,367,1181,1869,8205,39.0,83.8,0.46,1.6,5.4,0.3,20.6,27.0,0.76,14.7,29.9,44.6,22.3,5.9,4.5,14.4,22.8,100.1,384,3180,6842,0.464776381175095,131,440,0.297727272727273,1678,2197,0.763768775603095,3616,1821,485,347,1128,1834,8169
NBA,1990,Golden State Warriors,GSW,82,3566,7346,0.49,270,801,0.34,2162,2761,0.78,1113,2306,3419,1954,803,378,1359,2207,9564,43.5,89.6,0.49,3.3,9.8,0.34,26.4,33.7,0.78,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6,434,3266,6734,0.485001485001485,267,793,0.336696090794451,1948,2449,0.79542670477746,2826,1845,734,333,1188,1753,8747
