"","Team","Season","impliedFGM","impliedFGA","impliedFG%","implied3FGM","implied3FGA","implied3FG%","impliedFTM","impliedFTA","impliedFT%","impliedREB","impliedAST","impliedSTL","impliedBLK","impliedTO","impliedPF","impliedPTS"
"1","ANA",1967,343,758,0.452506596306069,1,7,0.142857142857143,229,353,0.648725212464589,566,75,0,0,128,193,916
"2","AND",1949,1483,4632,0.320164075993092,0,0,0,1275,1746,0.730240549828179,0,797,0,0,0,1183,4241
"3","ATL",1968,3605,7844,0.459586945436002,0,0,0,1913,2785,0.68689407540395,4599,2069,0,0,0,2082,9123
"4","ATL",1969,3674,7616,0.482405462184874,0,0,0,1937,2545,0.761100196463654,3896,2053,0,0,0,1916,9285
"5","ATL",1970,517,1126,0.459147424511545,0,0,0,315,415,0.759036144578313,300,514,0,0,0,276,1349
"6","ATL",1981,2844,5999,0.474079013168861,22,94,0.234042553191489,1646,2129,0.773132926256458,2795,1651,534,258,1184,1888,7356
"7","ATL",1982,2887,6141,0.470118873147696,40,154,0.25974025974026,1400,1857,0.753904146472806,2980,1605,456,591,1154,1615,7214
"8","ATL",1983,2761,5829,0.473666151998628,23,105,0.219047619047619,1594,2042,0.780607247796278,2303,1628,542,246,1080,1486,7139
"9","ATL",1984,3080,6372,0.483364720652856,73,234,0.311965811965812,1600,2115,0.756501182033097,2665,1837,576,329,1243,1550,7833
"10","ATL",1985,3089,6263,0.493214114641546,23,133,0.172932330827068,1765,2423,0.728435823359472,3422,1605,675,411,1244,1924,7966
"11","ATL",1986,3262,6821,0.478228998680545,135,425,0.317647058823529,1955,2573,0.759813447337738,3337,2054,657,371,1198,1910,8614
"12","ATL",1987,2870,5915,0.485207100591716,71,244,0.290983606557377,1707,2231,0.765127745405648,2897,1703,539,379,1049,1670,7518
"13","ATL",1988,3335,7047,0.473251028806584,110,395,0.278481012658228,2115,2628,0.804794520547945,3557,1962,795,455,1226,1790,8895
"14","ATL",1989,3159,6488,0.48689889025894,113,370,0.305405405405405,1786,2350,0.76,3256,1571,667,318,1117,1658,8217
"15","ATL",1990,3347,7220,0.463573407202216,271,836,0.324162679425837,2031,2539,0.799921228830248,3647,1864,729,373,1207,1763,8996
"16","ATL",1991,3397,7265,0.467584308327598,196,633,0.309636650868878,1487,2033,0.731431382193802,3682,1947,744,314,1165,1680,8477
"17","ATL",1992,3293,7028,0.468554354012521,367,1020,0.359803921568627,1624,2182,0.744271310724106,3480,1981,765,262,1231,1686,8577
"18","ATL",1993,2542,5453,0.466165413533835,206,629,0.327503974562798,1144,1550,0.738064516129032,2996,1819,786,393,939,1360,6434
"19","ATL",1994,2156,4848,0.444719471947195,392,1139,0.344161545215101,833,1198,0.695325542570952,2283,1337,545,310,836,1245,5537
"20","ATL",1995,2358,5334,0.44206974128234,548,1525,0.359344262295082,1191,1588,0.75,2564,1297,661,179,909,1256,6455
"21","ATL",1996,2302,5296,0.434667673716012,659,1834,0.359323882224646,1112,1380,0.805797101449275,2098,1393,596,141,914,1146,6375
"22","ATL",1997,2449,5526,0.443177705392689,337,1016,0.331692913385827,1420,1814,0.782800441014333,2506,1477,596,209,969,1366,6655
"23","ATL",1998,1344,3362,0.399762046400952,197,644,0.305900621118012,826,1088,0.759191176470588,1440,711,326,91,595,761,3711
"24","ATL",1999,2636,6116,0.431000654022237,253,799,0.316645807259074,1157,1539,0.751786874593892,2516,1368,450,190,1014,1420,6682
"25","ATL",2000,1996,4607,0.433253744302149,232,664,0.349397590361446,943,1250,0.7544,2000,903,394,195,856,1257,5167
"26","ATL",2001,2876,6551,0.439016943978019,423,1194,0.35427135678392,1463,1905,0.767979002624672,3346,1650,660,340,1193,1680,7638
"27","ATL",2002,2456,5512,0.445573294629898,396,1122,0.352941176470588,1365,1685,0.810089020771513,2648,1515,507,179,1103,1343,6673
"28","ATL",2003,1620,3818,0.424305919329492,354,1043,0.339405560882071,750,950,0.789473684210526,1525,1139,427,115,765,997,4344
"29","ATL",2004,2054,4617,0.444877626164176,154,524,0.293893129770992,1062,1454,0.730398899587345,2513,968,451,284,870,1493,5324
"30","ATL",2005,2912,6424,0.453300124533001,424,1154,0.367417677642981,1643,2190,0.750228310502283,3241,1619,582,379,1219,1968,7891
"31","ATL",2006,2656,5970,0.444891122278057,325,991,0.32795156407669,1639,2132,0.768761726078799,2987,1406,560,416,1157,1700,7276
"32","ATL",2007,2549,5530,0.460940325497288,253,746,0.339142091152815,1577,2041,0.77266046055855,3068,1314,494,424,996,1394,6928
"33","ATL",2008,2936,6407,0.458248790385516,597,1633,0.365584813227189,1532,2074,0.738669238187078,3238,1651,599,370,991,1573,8001
"34","ATL",2009,3154,6748,0.467397747480735,524,1455,0.360137457044674,1433,1883,0.761019649495486,3370,1787,587,409,926,1593,8265
"35","ATL",2010,2470,5260,0.46958174904943,319,978,0.326175869120654,1126,1423,0.791286015460295,2541,1413,383,292,836,1072,6385
"36","ATL",2011,2240,4953,0.452251160912578,492,1329,0.37020316027088,901,1212,0.743399339933993,2183,1383,475,267,779,960,5873
"37","ATL",2012,2951,6329,0.46626639279507,667,1796,0.371380846325167,1111,1554,0.714929214929215,3260,1915,628,367,1120,1358,7680
"38","ATL",2013,2896,6309,0.459026787129498,709,1959,0.361919346605411,1335,1693,0.788541051388069,3036,1977,628,308,1121,1457,7836
"39","ATL",2014,3109,6666,0.466396639663966,813,2137,0.380439868975199,1347,1731,0.778162911611785,3308,2103,739,378,1098,1444,8378
"40","ATL",2015,3044,6624,0.459541062801932,792,2218,0.357078449053201,1233,1563,0.788867562380038,3298,2021,713,469,1142,1488,8113
"41","ATL",2016,2841,6260,0.453833865814696,591,1779,0.33220910623946,1379,1911,0.721611721611722,3294,1754,615,371,1147,1322,7652
"42","ATL",2017,2544,5740,0.443205574912892,710,2002,0.354645354645355,1079,1371,0.787016776075857,2752,1714,521,291,1043,1332,6877
"43","ATL",2018,3133,6961,0.450079011636259,1006,2844,0.353727144866385,1267,1692,0.748817966903073,3554,1902,621,407,1243,1788,8539
"44","ATL",2019,2200,4930,0.446247464503043,695,2032,0.342027559055118,1061,1321,0.803179409538229,2217,1349,405,263,881,1210,6156
"45","BAL",1947,1024,3337,0.306862451303566,0,0,0,788,1127,0.699201419698314,0,258,0,0,0,863,2836
"46","BAL",1948,957,2838,0.337209302325581,0,0,0,941,1266,0.743285939968404,0,583,0,0,0,995,2855
"47","BAL",1949,1209,3900,0.31,0,0,0,1131,1545,0.732038834951456,0,874,0,0,0,1320,3549
"48","BAL",1950,872,2536,0.34384858044164,0,0,0,728,975,0.746666666666667,1530,569,0,0,0,921,2472
"49","BAL",1951,1493,4368,0.341804029304029,0,0,0,1358,1830,0.74207650273224,2617,1113,0,0,0,1293,4344
"50","BAL",1952,1136,2971,0.382362840794345,0,0,0,943,1442,0.653952843273232,1851,815,0,0,0,1196,3215
"51","BAL",1953,1442,3839,0.375618650690284,0,0,0,1195,1786,0.669092945128779,2515,903,0,0,0,1237,4079
"52","BAL",1954,58,180,0.322222222222222,0,0,0,37,63,0.587301587301587,97,46,0,0,0,62,153
"53","BAL",1963,3199,7181,0.445481130761732,0,0,0,1896,2762,0.686459087617668,4708,1241,0,0,0,1865,8294
"54","BAL",1964,3361,7559,0.444635533800767,0,0,0,2183,3063,0.712699967352269,4490,1659,0,0,0,2057,8905
"55","BAL",1965,2551,5930,0.430185497470489,0,0,0,1628,2180,0.746788990825688,3136,1407,0,0,0,1464,6730
"56","BAL",1966,3290,7640,0.430628272251309,0,0,0,1807,2447,0.738455251328157,3997,1510,0,0,0,1879,8387
"57","BAL",1967,3457,7885,0.438427393785669,0,0,0,2130,2845,0.748681898066784,4734,1450,0,0,0,2030,9044
"58","BAL",1968,3770,8567,0.440060698027314,0,0,0,2002,2734,0.732260424286759,4963,1682,0,0,0,2038,9542
"59","BAL",1969,3823,8367,0.456914067168639,0,0,0,1997,2579,0.774331136099263,4575,1865,0,0,0,1812,9643
"60","BOS",1946,1233,4455,0.276767676767677,0,0,0,700,1184,0.591216216216216,0,416,0,0,0,1036,3166
"61","BOS",1947,1086,3781,0.287225601692674,0,0,0,751,1133,0.662842012356575,0,333,0,0,0,943,2923
"62","BOS",1948,1167,3727,0.313120472229675,0,0,0,773,1185,0.652320675105485,0,849,0,0,0,904,3107
"63","BOS",1949,1699,4905,0.34638124362895,0,0,0,1316,1849,0.711736073553272,0,1310,0,0,0,1323,4714
"64","BOS",1950,1562,4133,0.377933704330994,0,0,0,1471,2001,0.735132433783108,2331,1260,0,0,0,1168,4595
"65","BOS",1951,2131,5510,0.386751361161524,0,0,0,1765,2406,0.733582709891937,3328,1606,0,0,0,1734,6027
"66","BOS",1952,2177,5546,0.392535160476019,0,0,0,1903,2615,0.727724665391969,3471,1666,0,0,0,1905,6257
"67","BOS",1953,2099,5195,0.404042348411935,0,0,0,1763,2434,0.724322103533279,3282,1691,0,0,0,1813,5961
"68","BOS",1954,2603,6527,0.39880496399571,0,0,0,2096,2703,0.77543470218276,3972,1902,0,0,0,1851,7302
"69","BOS",1955,2745,6913,0.39707796904383,0,0,0,2142,2785,0.769120287253142,4142,1834,0,0,0,1874,7632
"70","BOS",1956,2767,7208,0.383879023307436,0,0,0,1960,2612,0.750382848392037,4503,1456,0,0,0,1828,7494
"71","BOS",1957,3006,7759,0.387421059414873,0,0,0,1904,2585,0.736557059961315,4824,1508,0,0,0,1723,7916
"72","BOS",1958,3207,8116,0.39514539181863,0,0,0,1963,2562,0.766198282591725,5055,1568,0,0,0,1769,8377
"73","BOS",1959,3744,8981,0.416880080169246,0,0,0,1849,2518,0.734312946783161,5365,1849,0,0,0,1842,9337
"74","BOS",1960,3699,9295,0.397955890263583,0,0,0,2062,2814,0.732764747690121,5582,1872,0,0,0,2032,9460
"75","BOS",1961,3842,9080,0.423127753303965,0,0,0,1972,2709,0.727943890734588,5313,2045,0,0,0,1900,9656
"76","BOS",1962,3733,8753,0.426482348908945,0,0,0,2006,2769,0.724449259660527,5098,1960,0,0,0,2087,9472
"77","BOS",1963,3619,8770,0.412656784492588,0,0,0,1804,2489,0.724789071916432,5128,1760,0,0,0,2125,9042
"78","BOS",1964,3564,8604,0.414225941422594,0,0,0,1890,2587,0.73057595670661,5086,1769,0,0,0,2060,9018
"79","BOS",1965,3487,8365,0.41685594739988,0,0,0,2038,2758,0.738941261783901,4929,1794,0,0,0,2011,9012
"80","BOS",1966,3724,8325,0.447327327327327,0,0,0,2216,2963,0.747890651366858,4979,1962,0,0,0,2138,9664
"81","BOS",1967,3686,8371,0.440329709712101,0,0,0,2151,2983,0.72108615487764,4959,1798,0,0,0,2147,9523
"82","BOS",1968,3484,8095,0.430389129092032,0,0,0,1871,2559,0.731144978507229,4632,1922,0,0,0,1960,8839
"83","BOS",1969,3645,8235,0.442622950819672,0,0,0,2132,2711,0.786425673183327,4336,1875,0,0,0,2320,9422
"84","BOS",1979,2966,6235,0.4757016840417,159,418,0.380382775119617,1388,1788,0.776286353467561,2846,1942,707,233,1203,1616,7479
"85","BOS",1980,3513,6947,0.505685907586008,59,231,0.255411255411255,1748,2325,0.751827956989247,3512,2186,672,587,1520,1953,8833
"86","BOS",1981,2494,5149,0.484365896290542,49,184,0.266304347826087,1353,1814,0.745865490628445,2266,1882,546,184,1055,1455,6390
"87","BOS",1982,3510,7105,0.494018296973962,38,175,0.217142857142857,1663,2234,0.744404655326768,3503,2118,756,505,1418,1840,8721
"88","BOS",1983,2963,6029,0.491457953226074,55,229,0.240174672489083,1628,2023,0.804745427582798,2778,1976,617,309,1194,1641,7609
"89","BOS",1984,3137,6221,0.504259765311043,110,309,0.355987055016181,1546,1882,0.821466524973433,2817,2145,586,303,1105,1474,7930
"90","BOS",1985,2396,4957,0.483356869074037,138,393,0.351145038167939,1070,1291,0.828814872192099,1942,1896,509,155,852,1139,6000
"91","BOS",1986,3434,6579,0.521963824289406,195,533,0.365853658536585,1637,2001,0.818090954522739,3307,2250,516,507,1163,1528,8700
"92","BOS",1987,2642,5193,0.508761794723666,261,665,0.392481203007519,1282,1543,0.830848995463383,2259,1910,469,262,916,1125,6827
"93","BOS",1988,2260,4681,0.482802819910276,18,139,0.129496402877698,1209,1534,0.788135593220339,1971,1548,418,239,857,1235,5747
"94","BOS",1989,3046,6238,0.488297531260019,104,399,0.260651629072682,1554,1835,0.846866485013624,2964,2292,499,385,1061,1509,7750
"95","BOS",1990,3655,7123,0.513126491646778,109,346,0.315028901734104,1624,1964,0.826883910386965,3718,2148,669,534,1275,1633,9043
"96","BOS",1991,2881,5886,0.489466530750934,109,343,0.317784256559767,1250,1521,0.821827744904668,2799,1754,534,350,899,1381,7121
"97","BOS",1992,2792,5843,0.477836727708369,110,383,0.287206266318538,1233,1555,0.792926045016077,2382,1915,563,307,915,1458,6927
"98","BOS",1993,2790,5964,0.467806841046278,138,477,0.289308176100629,1188,1621,0.732880937692782,2331,1775,567,294,996,1497,6906
"99","BOS",1994,3060,6565,0.466108149276466,351,940,0.373404255319149,1647,2184,0.754120879120879,3355,1718,582,343,1208,1855,8118
"100","BOS",1995,1945,4272,0.455290262172285,443,1169,0.378956372968349,977,1275,0.766274509803922,1516,1427,443,89,735,1040,5310
"101","BOS",1996,3023,6867,0.440221348478229,467,1331,0.350864012021037,1621,2160,0.750462962962963,3080,1774,797,291,1256,1796,8134
"102","BOS",1997,2530,5802,0.436056532230265,292,897,0.325529542920847,1164,1625,0.716307692307692,2769,1383,790,299,1004,1746,6516
"103","BOS",1998,1578,3676,0.429270946681175,258,725,0.355862068965517,640,903,0.70874861572536,1688,954,401,197,635,920,4054
"104","BOS",1999,2889,6556,0.440665039658328,417,1259,0.33121525019857,1464,1958,0.747701736465781,3090,1692,765,273,1137,1972,7659
"105","BOS",2000,2399,5685,0.421987686895339,589,1618,0.364029666254635,1449,1946,0.744604316546763,2514,1569,667,236,1049,1510,6836
"106","BOS",2001,2334,5528,0.422214182344428,604,1662,0.363417569193742,1266,1646,0.76913730255164,2654,1461,648,224,883,1329,6538
"107","BOS",2002,2499,6040,0.413741721854305,663,1989,0.333333333333333,1394,1889,0.737956590788777,3071,1409,633,281,1001,1574,7055
"108","BOS",2003,1387,3410,0.406744868035191,369,1104,0.334239130434783,874,1129,0.774136403897254,1455,949,425,117,700,895,4017
"109","BOS",2004,2619,5521,0.474370585038942,350,990,0.353535353535354,1573,2024,0.777173913043478,2714,1596,570,342,1062,1619,7161
"110","BOS",2005,2145,4602,0.466101694915254,377,1034,0.364603481624758,1260,1694,0.743801652892562,2653,1281,479,360,961,1656,5927
"111","BOS",2006,2838,6405,0.443091334894614,471,1283,0.367108339828527,1665,2171,0.766927683095348,3254,1625,580,366,1267,1917,7812
"112","BOS",2007,2817,5912,0.47648849797023,587,1542,0.380674448767834,1542,1979,0.779181404749874,3169,1767,653,350,1092,1632,7763
"113","BOS",2008,2829,5876,0.48144996596324,538,1355,0.397047970479705,1381,1777,0.777152504220597,2967,1783,589,336,1115,1579,7577
"114","BOS",2009,2781,5675,0.490044052863436,376,1127,0.333629103815439,1500,2011,0.745897563401293,2988,1788,640,390,1078,1663,7438
"115","BOS",2010,2407,4979,0.483430407712392,326,865,0.376878612716763,1155,1447,0.798203178991016,2361,1689,571,232,853,1093,6295
"116","BOS",2011,1782,3951,0.451025056947608,363,988,0.367408906882591,792,998,0.793587174348697,1665,1440,399,149,752,840,4719
"117","BOS",2012,2856,6126,0.466209598432909,474,1313,0.361005331302361,1233,1567,0.786853860880664,2966,1759,633,342,1048,1544,7419
"118","BOS",2013,2533,5787,0.437705201313288,443,1360,0.325735294117647,1135,1477,0.768449559918754,3163,1333,480,318,1001,1510,6644
"119","BOS",2014,1949,4464,0.43660394265233,404,1268,0.318611987381703,680,940,0.723404255319149,2201,1280,466,177,720,1134,4982
"120","BOS",2015,2981,6810,0.437738619676946,715,2139,0.33426834969612,1387,1760,0.788068181818182,3361,1897,730,302,1018,1643,8064
"121","BOS",2016,3168,6978,0.453998280309544,985,2741,0.359357898577162,1536,1903,0.807146610614819,3442,2069,617,340,1037,1686,8857
"122","BOS",2017,3021,6748,0.44768820391227,933,2476,0.376817447495961,1253,1628,0.76965601965602,3473,1779,574,357,1041,1563,8228
"123","BOS",2018,3412,7367,0.463146463960907,1032,2829,0.364793213149523,1273,1583,0.804169298799747,3569,2147,697,395,1009,1634,9129
"124","BOS",2019,2896,6346,0.456350456980775,905,2487,0.36389223964616,1313,1631,0.805027590435316,3174,1627,572,367,923,1495,8010
"125","BRO",2012,2817,6280,0.448566878980892,628,1759,0.357021034678795,1317,1732,0.760392609699769,2616,1625,522,378,1029,1300,7579
"126","BRO",2013,2765,5989,0.461679746201369,654,1771,0.369282891022021,1407,1850,0.760540540540541,2870,1637,655,304,1054,1650,7591
"127","BRO",2014,2719,6071,0.447866908252347,520,1572,0.330788804071247,1236,1650,0.749090909090909,2892,1586,486,301,981,1354,7194
"128","BRO",2015,2665,5853,0.455322057064753,411,1182,0.347715736040609,1086,1447,0.750518313752592,3009,1552,562,284,1003,1262,6827
"129","BRO",2016,2641,5948,0.444014794889038,716,2135,0.33536299765808,1343,1715,0.783090379008746,3159,1594,532,352,1140,1501,7341
"130","BRO",2017,2706,6206,0.436029648727038,949,2661,0.35663284479519,1297,1660,0.781325301204819,3027,1785,473,329,1025,1447,7658
"131","BRO",2018,3271,7306,0.447714207500684,1046,2959,0.35349780331193,1540,2065,0.745762711864407,3765,1947,536,335,1175,1752,9128
"132","BRO",2019,2623,5997,0.43738535934634,906,2648,0.34214501510574,1180,1575,0.749206349206349,2797,1571,429,263,941,1340,7332
"133","BUF",1971,450,998,0.450901803607214,0,0,0,237,303,0.782178217821782,213,406,0,0,0,230,1137
"134","BUF",1976,25,74,0.337837837837838,0,0,0,33,43,0.767441860465116,90,7,3,9,0,21,83
"135","CAR",1969,2642,5953,0.443809843776247,81,282,0.287234042553192,1499,2021,0.741712023750619,2870,1449,0,0,1239,1538,6864
"136","CAR",1970,3181,6917,0.459881451496313,190,549,0.34608378870674,1511,2267,0.666519629466255,3091,1527,0,0,1316,1654,8063
"137","CAR",1971,1674,3741,0.44747393744988,37,152,0.243421052631579,965,1346,0.716939078751857,1627,920,0,0,671,1012,4350
"138","CAR",1973,3334,6799,0.490366230327989,24,130,0.184615384615385,1651,2215,0.745372460496614,3413,1851,941,297,1476,2042,8343
"139","CHA",1988,3353,7268,0.461337369290039,133,425,0.312941176470588,1561,2036,0.766699410609037,3262,2234,683,256,1255,2009,8400
"140","CHA",1989,2287,5107,0.447816722146074,181,528,0.34280303030303,1013,1294,0.782843894899536,2037,1602,556,158,819,1223,5768
"141","CHA",1990,2707,5846,0.463051659254191,130,410,0.317073170731707,1472,1874,0.785485592315902,2320,1898,682,246,1075,1656,7016
"142","CHA",1991,3457,7192,0.48067296996663,108,337,0.320474777448071,1567,2062,0.759941804073715,3424,2115,773,298,1144,1736,8589
"143","CHA",1992,3394,6941,0.488978533352543,175,534,0.327715355805243,1762,2282,0.772129710780018,3361,2117,626,451,1237,1673,8725
"144","CHA",1993,2733,5816,0.469910591471802,329,891,0.369248035914703,1314,1679,0.782608695652174,2590,1941,576,284,986,1213,7109
"145","CHA",1994,2884,6050,0.476694214876033,558,1400,0.398571428571429,1516,1941,0.781040700669758,2872,2019,592,363,1094,1546,7842
"146","CHA",1995,2391,5034,0.474970202622169,490,1235,0.396761133603239,1221,1569,0.778202676864245,2332,1145,403,181,832,1205,6493
"147","CHA",1996,2706,5688,0.475738396624473,505,1186,0.425801011804385,1360,1759,0.773166571915861,2898,1819,534,327,1011,1444,7277
"148","CHA",1997,2763,5894,0.468781812012216,305,780,0.391025641025641,1550,2076,0.746628131021195,3172,1733,644,308,1115,1597,7381
"149","CHA",1998,1156,2639,0.438044713906783,233,647,0.360123647604328,643,844,0.761848341232227,1253,837,276,130,548,725,3188
"150","CHA",1999,2796,6190,0.451696284329564,323,954,0.338574423480084,1817,2380,0.76344537815126,3292,1979,704,464,1103,1538,7732
"151","CHA",2000,2739,6366,0.430254476908577,340,983,0.34587995930824,1579,2122,0.744109330819981,3495,1870,652,448,1087,1640,7397
"152","CHA",2001,2635,6033,0.436764462124979,346,994,0.348088531187123,1399,1908,0.733228511530398,2753,1648,591,376,1015,1512,7015
"153","CHA",2004,1949,4644,0.419681309216193,221,635,0.348031496062992,1039,1435,0.72404181184669,2211,1470,565,260,800,1240,5158
